Threshold,Completeness,Succinctness,F-Score
0.342,0.9333333333333333,0.0,0.0
0.343,0.9333333333333333,0.0,0.0
0.344,0.9333333333333333,0.0,0.0
0.345,0.9333333333333333,0.0,0.0
0.346,0.9333333333333333,0.0,0.0
0.347,0.9333333333333333,0.0,0.0
0.348,0.9333333333333333,0.0,0.0
0.349,0.9333333333333333,0.0,0.0
0.35,0.9333333333333333,0.0,0.0
0.351,0.9333333333333333,0.0,0.0
0.352,0.9333333333333333,0.0,0.0
0.353,0.9333333333333333,0.0,0.0
0.354,0.9333333333333333,0.0,0.0
0.355,0.9333333333333333,0.0,0.0
0.356,0.9333333333333333,0.0,0.0
0.357,0.9333333333333333,0.0,0.0
0.358,0.9333333333333333,0.0,0.0
0.359,0.9333333333333333,0.0,0.0
0.36,0.9333333333333333,0.0,0.0
0.361,0.9333333333333333,0.0,0.0
0.362,0.9333333333333333,0.0,0.0
0.363,0.9333333333333333,0.0,0.0
0.364,0.9333333333333333,0.0,0.0
0.365,0.9333333333333333,0.0,0.0
0.366,0.9333333333333333,0.0,0.0
0.367,0.9333333333333333,0.0,0.0
0.368,0.9333333333333333,0.0,0.0
0.369,0.9333333333333333,0.0,0.0
0.37,0.9333333333333333,0.0,0.0
0.371,0.9333333333333333,0.0,0.0
0.372,0.9333333333333333,0.0,0.0
0.373,0.9333333333333333,0.0,0.0
0.374,0.9333333333333333,0.0,0.0
0.375,0.9333333333333333,0.0,0.0
0.376,0.9333333333333333,0.0,0.0
0.377,0.9333333333333333,0.0,0.0
0.378,0.9333333333333333,0.0,0.0
0.379,0.9333333333333333,0.0,0.0
0.38,0.9333333333333333,0.0,0.0
0.381,0.9333333333333333,0.0,0.0
0.382,0.9333333333333333,0.0,0.0
0.383,0.9333333333333333,0.0,0.0
0.384,0.9333333333333333,0.0,0.0
0.385,0.9333333333333333,0.0,0.0
0.386,0.9333333333333333,0.0,0.0
0.387,0.9333333333333333,0.0,0.0
0.388,0.9333333333333333,0.0,0.0
0.389,0.9333333333333333,0.0,0.0
0.39,0.9333333333333333,0.0,0.0
0.391,0.9333333333333333,0.0,0.0
0.392,0.9333333333333333,0.0,0.0
0.393,0.9333333333333333,0.0,0.0
0.394,0.9333333333333333,0.0,0.0
0.395,0.9333333333333333,0.0,0.0
0.396,0.9333333333333333,0.0,0.0
0.397,0.9333333333333333,0.0,0.0
0.398,0.9333333333333333,0.0,0.0
0.399,0.9333333333333333,0.0,0.0
0.4,0.9333333333333333,0.0,0.0
0.401,0.9333333333333333,0.0,0.0
0.402,0.9333333333333333,0.0,0.0
0.403,0.9333333333333333,0.0,0.0
0.404,0.9333333333333333,0.0,0.0
0.405,0.9333333333333333,0.0,0.0
0.406,0.9333333333333333,0.0,0.0
0.407,0.9333333333333333,0.0,0.0
0.408,0.9333333333333333,0.0,0.0
0.409,0.9333333333333333,0.0,0.0
0.41,0.9333333333333333,0.0,0.0
0.411,0.9333333333333333,0.0,0.0
0.412,0.9333333333333333,0.0,0.0
0.413,0.9333333333333333,0.0,0.0
0.414,0.9333333333333333,0.0,0.0
0.415,0.9333333333333333,0.0,0.0
0.416,0.9333333333333333,0.0,0.0
0.417,0.9333333333333333,0.0,0.0
0.418,0.9333333333333333,0.0,0.0
0.419,0.9333333333333333,0.0,0.0
0.42,0.9333333333333333,0.0,0.0
0.421,0.9333333333333333,0.0,0.0
0.422,0.9333333333333333,0.0,0.0
0.423,0.9333333333333333,0.0,0.0
0.424,0.9333333333333333,0.0,0.0
